year,raw_sha256,config,provenance
2016,75ae56ca258aabde75081739c401aa619886f0463a525d7cf786effbe9ba991f,config/rules/2016.yml,docs/rule_provenance/2016.md
2020,8bab36cb40569a6d79c7bf592eebf0099b631b384c48581244916d48935de0e1,config/rules/2020.yml,C011_FINAL_REPRODUCIBILITY_ADJUDICATION.md
2021,bb63235d8c9b103d3a9dddd9b4b3f97949ed6bc8c7b006d9c895c924abba8b16,config/rules/2021.yml,docs/rule_provenance/2021.md
2022,d613b576695f9f01c800616775bc06aa72a514d350fa3c9a11df9ef8d205f3e0,config/rules/2022.yml,docs/rule_provenance/2022.md
2026,aa1a076b63ca839402558fd1b57f017d1b934857851ebf5726876455dffc8e29,config/rules/2026.yml,C011_FINAL_REPRODUCIBILITY_ADJUDICATION.md
